dataset: GLI85 | 2 classes | 22283 features | deivce: cpu
epoch 31 | train ACC 64.7059 % | test ACC 66.1765 % | train loss 0.0081
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0071
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0064
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0068
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0058
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0056
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0061
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0052
epoch 121 | train ACC 82.3529 % | test ACC 75.0 % | train loss 0.005
epoch 131 | train ACC 76.4706 % | test ACC 58.8235 % | train loss 0.0072
epoch 141 | train ACC 82.3529 % | test ACC 70.5882 % | train loss 0.0053
epoch 151 | train ACC 82.3529 % | test ACC 80.8824 % | train loss 0.0048
epoch 161 | train ACC 100.0 % | test ACC 76.4706 % | train loss 0.0021
epoch 171 | train ACC 100.0 % | test ACC 80.8824 % | train loss 0.0022
epoch 181 | train ACC 100.0 % | test ACC 80.8824 % | train loss 0.0017
epoch 191 | train ACC 94.1176 % | test ACC 76.4706 % | train loss 0.0041
6layers, Final test  ACC: 76.4706 %
hd:8, dp:0.4, wd:0.005, layer 7 
epoch 1 | train ACC 47.0588 % | test ACC 48.5294 % | train loss 0.0091
epoch 11 | train ACC 70.5882 % | test ACC 55.8824 % | train loss 0.0083
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0074
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0067
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0054
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0064
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0056
epoch 121 | train ACC 70.5882 % | test ACC 76.4706 % | train loss 0.0069
epoch 131 | train ACC 64.7059 % | test ACC 75.0 % | train loss 0.007
epoch 141 | train ACC 70.5882 % | test ACC 77.9412 % | train loss 0.0063
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0056
epoch 161 | train ACC 64.7059 % | test ACC 76.4706 % | train loss 0.0049
epoch 171 | train ACC 82.3529 % | test ACC 83.8235 % | train loss 0.0052
epoch 181 | train ACC 88.2353 % | test ACC 63.2353 % | train loss 0.0082
epoch 191 | train ACC 94.1176 % | test ACC 82.3529 % | train loss 0.0063
7layers, Final test  ACC: 29.4118 %
hd:8, dp:0.4, wd:0.005, layer 8 
epoch 1 | train ACC 47.0588 % | test ACC 48.5294 % | train loss 0.0091
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
